espece_plantnet,noms_du_depot,origine,photos_plantnet,photos_libres,dont_plante_entiere,verdict,note,cle_gbif
Euphorbia abdelkuri,Euphorbia abdelkuri,a_collecter,15,15,3,trop peu,moins de 25 photos libres,3069740
Goeppertia allouia,Calathea allouia,catalogue_app,21,15,0,trop peu,moins de 25 photos libres,8107795
Anthurium radicans,Anthurium radicans,a_collecter,14,14,0,trop peu,moins de 25 photos libres,2872788
Spathiphyllum cochlearispathum,Spathiphyllum cochlearispathum,a_collecter,12,12,0,trop peu,moins de 25 photos libres,2869661
Monstera subpinnata,Monstera subpinnata,a_collecter,11,11,0,trop peu,moins de 25 photos libres,2868129
Peperomia fraseri,Peperomia fraseri,a_collecter,11,11,2,trop peu,moins de 25 photos libres,7305086
Adenia spinosa,Adenia spinosa,a_collecter,10,10,4,trop peu,moins de 25 photos libres,5527612
Nepenthes ventricosa,Nepenthes ventricosa,a_collecter,9,9,1,trop peu,moins de 25 photos libres,3702158
Phyllanthus mirabilis,Phyllanthus mirabilis,a_collecter,9,9,0,trop peu,moins de 25 photos libres,5381921
Anthurium luxurians,Anthurium luxurians,catalogue_app,9,9,0,trop peu,moins de 25 photos libres,2872804
Hoya obovata,Hoya obovata,catalogue_app,8,8,0,trop peu,moins de 25 photos libres,3573084
Anthurium regale,Anthurium regale,catalogue_app,8,8,0,trop peu,moins de 25 photos libres,2873074
Platycerium grande,Platycerium grande,a_collecter,7,7,2,trop peu,moins de 25 photos libres,8655717
Monstera acuminata,Monstera acuminata,catalogue_app,7,7,1,trop peu,moins de 25 photos libres,2868214
Phalaenopsis aphrodite,Phalaenopsis aphrodite,catalogue_app,6,6,0,trop peu,moins de 25 photos libres,5311033
Alocasia cuprea,Alocasia cuprea,a_collecter,5,5,1,trop peu,moins de 25 photos libres,5329958
Iguanura wallichiana,Iguanura wallichiana,a_collecter,5,5,1,trop peu,moins de 25 photos libres,7933984
Amydrium zippelianum,Amydrium zippelianum,a_collecter,4,4,0,trop peu,moins de 25 photos libres,2870249
Utricularia sandersonii,Utricularia sandersonii,a_collecter,4,3,0,trop peu,moins de 25 photos libres,4088290
Pilea ovalis,Pilea ovalis,catalogue_app,3,3,1,trop peu,moins de 25 photos libres,5669908
Stephania suberosa,Stephania suberosa,a_collecter,2,2,1,trop peu,moins de 25 photos libres,5592748
Peperomia metallica,Peperomia metallica,a_collecter,2,2,0,trop peu,moins de 25 photos libres,4184843
Cyrtosperma johnstonii,Cyrtosperma johnstonii,a_collecter,2,2,0,trop peu,moins de 25 photos libres,2871907
Geonoma epetiolata,Geonoma epetiolata,a_collecter,2,0,0,trop peu,moins de 25 photos libres,2734364
Dieffenbachia seguine,Dieffenbachia maculata,catalogue_app,11167,11104,210,déjà dans le modèle,déjà classe `dieffenbachia-seguine`,2869345
Hoya carnosa,Hoya compacta,catalogue_app,6350,6351,113,déjà dans le modèle,déjà classe `hoya-carnosa`,8658195
Heptapleurum actinophyllum,Schefflera actinophylla,catalogue_app,5844,5791,295,déjà dans le modèle,déjà classe `heptapleurum-actinophyllum`,11008739
Coleus amboinicus,Plectranthus amboinicus,catalogue_app,5472,5473,130,déjà dans le modèle,déjà classe `coleus-amboinicus`,5341313
Callianthe picta,Abutilon pictum,catalogue_app,3849,3851,127,déjà dans le modèle,déjà classe `callianthe-picta`,7900084
Callianthe megapotamica,Abutilon megapotamicum,catalogue_app,3372,3355,90,déjà dans le modèle,déjà classe `callianthe-megapotamica`,8220878
Philodendron hederaceum,Philodendron micans,catalogue_app,3269,3250,45,déjà dans le modèle,déjà classe `philodendron-hederaceum`,2871003
Dracaena angolensis,Dracaena angolensis,a_collecter,2361,2360,99,déjà dans le modèle,déjà classe `sansevieria-cylindrica`,10961470
Peperomia serpens,Peperomia scandens,catalogue_app,2037,2027,32,déjà dans le modèle,déjà classe `peperomia-serpens`,7727798
Coleus australis,Plectranthus australis,catalogue_app,266,249,15,déjà dans le modèle,déjà classe `coleus-australis`,10030768
,Alocasia stingray,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Anadendrum microstachyum,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Anthurium vittarifolium,,,,,nom corrigé,voir Anthurium vittariifolium (5 photos),
,Begonia corallina,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Begonia erythrophylla,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
