Abarema obovata	Fabaceae		Obovate abarema			
Abelia biflora	Caprifoliaceae		ulleungdo abelia			
Abelia chinensis	Caprifoliaceae			Chinesische Abelie		
Abelia dielsii	Caprifoliaceae		pedunculate abelia			
Abelia floribunda	Caprifoliaceae			Abelie		Erdkrönchen
Abelia integrifolia	Caprifoliaceae		entire-leaf abelia			
Abelia mosanensis	Caprifoliaceae		maengsan abelia	Koreanische Abelie		Sweet Abelia
Abelia serrata	Caprifoliaceae		dwarf abelia			
Abelia spathulata	Caprifoliaceae		spatulate-leaf abelia			
Abelia taihyonii	Caprifoliaceae		Abelia Tyaihyoni			
Abelia tyaihyoni	Caprifoliaceae		Taihyun's abelia			
Abeliophyllum distichum	Oleaceae		miseonnamu			White Forsythia
Abelmoschus esculentus	Malvaceae	gombo	lady's finger	Okra	Gombo	Bahmia~calou en Guyane~Corne grecque~Okraschote~abelmosco commestibile~abelmosco esculento
Abelmoschus ficulneus	Malvaceae		Native Rosella			White Wild Musk Mallow
Abelmoschus manihot	Malvaceae		abika	Maniok-Bisameibisch		hibiscus manihot~sunset hibiscus~sunset muskmallow
Abelmoschus moschatus	Malvaceae	ambrette	musk okra		Abelmosco	rose mallow~musk mallow~abelmosk~annual hibiscus~muskdana~ornamental okra
Abies alba	Pinaceae	Sapin Blanc	Silver Fir	Weiß-Tanne	Abete bianco	Sapin argenté~Sapin commun~Sapin noir~Sapin pectiné~Vuargne~Weißtanne
Abies amabilis	Pinaceae	Sapin gracieux	Pacific Silver Fir	Purpur-Tanne		silver fir~white fir~red fir~Amabilis fir~Cascades fir~lovely fir
Abies arizonica	Pinaceae		Corkbark Fir			
Abies balsamea	Pinaceae	Sapin baumier	Balsam Fir	Balsam-Tanne		Sapin balsamier~balm of Gilead~Canadian balsam fir~fir balsam
Abies beshanzuensis	Pinaceae		Baishan Fir			
Abies bifolia	Pinaceae		Rocky Mountains Subalpine Fir			
Abies bracteata	Pinaceae	Sapin de Sainte-Lucie	Bristlecone Fir	Grannen-Tanne	Abete dai coni bratteati	Sapin de Santa Lucia~Bracteata~Grannentanne~Santa-Lucia-Tanne
Abies cephalonica	Pinaceae	Sapin de Céphalonie	Greek Fir	Griechische Tanne	abete greco	Kefalonische Tanne~abeti greci~Meyer's dwarf
Abies chengii	Pinaceae		Cheng's Fir			
Abies chensiensis	Pinaceae		Shensi Fir	Schensi-Tanne		
Abies cilicica	Pinaceae		Cilician Fir	Kilikische Tanne		Cilicica fir~Syrian fir~Taurus fir
Abies concolor	Pinaceae	Sapin du Colorado	White Fir	Kolorado-Tanne		Sapin bleu du Colorado~Colorado-Tanne~Coloradotanne~Grau-Tanne~Grautanne~Koloradotanne
Abies delavayi	Pinaceae		Delavay's Fir	Delavays Tanne	Abete di Delavay	Yunnan-Tanne
Abies densa	Pinaceae		Bhutan Fir			Sikkim Fir
Abies durangensis	Pinaceae		Durango Fir			
Abies equi-trojani	Pinaceae			Troja-Tanne		Kleinasiatische Tanne~Westtürkische Tanne
Abies fabri	Pinaceae		Faber’s fir			
Abies fanjingshanensis	Pinaceae		Fanjingshan fir			
Abies fargesii	Pinaceae		Farges' Fir	Farges Tanne		
Abies firma	Pinaceae		Momi Fir	Momi-Tanne		
Abies flinckii	Pinaceae		Michoacán Fir			
Abies fordei	Pinaceae		Tibetan Silver Fir			
Abies forrestii	Pinaceae		Forrest's Fir			
Abies fraseri	Pinaceae	Sapin de Fraser	Fraser's Fir	Fraser-Tanne		Frasers Tanne~Frasertanne~Fraser fir
Abies grandis	Pinaceae	Sapin de Vancouver	Grand Fir	Küsten-Tanne	Abete di Vancouver	Große Küstentanne~Küstentanne~Riesen-Tanne~Riesentanne~coast grand fir~giant fir
Abies guatemalensis	Pinaceae	Sapin du Guatemala	Guatemalan fir	Guatemala-Tanne		
Abies hickelii	Pinaceae		Hickel's Fir			
Abies holophylla	Pinaceae		Manchurian Fir	Mandschurische Tanne		Needle fir
Abies homolepis	Pinaceae		Nikko fir	Nikko-Tanne		
Abies jaliscana	Pinaceae		Jalisco Fir			
Abies kawakamii	Pinaceae	Sapin de Taiwan	Taiwan Fir	Formosa-Tanne		
Abies koreana	Pinaceae	Sapin de Corée	Korean Fir	Korea-Tanne		
Abies lasiocarpa	Pinaceae	Sapin subalpin	Alpine Fir	Felsengebirgs-Tanne		Felsen-Tanne~Felsengebirgstanne~Felsentanne~Subalpine Fir
Abies lowiana	Pinaceae		Sierra White Fir			
Abies magnifica	Pinaceae	Sapin rouge	Red Fir	Pracht-Tanne		silvertip fir
Abies mariesii	Pinaceae		Maries's Fir	Maries-Tanne		
Abies nebrodensis	Pinaceae		Sicilian fir	Nebrodi-Tanne	Abete dei Nèbrodi	
Abies nephrolepis	Pinaceae	Sapin de Khinghan	Hinggan Fir	Ostsibirische Tanne		Khingan fir~East Siberian Fir~Khinghan Fir
Abies nordmanniana	Pinaceae	Sapin de Nordmann	Caucasian Fir	Nordmann-Tanne	Abete del Caucaso	Nordmann~Sapin du Caucase~Sapin Nordmann~Kaukasus-Tanne~Nordmanns Tanne~Nordmanntanne
Abies numidica	Pinaceae	Sapin d'Algerie	Algerian Fir	Numidische Tanne	Abete di Algeria	Sapin de babors~Sapin de numidie~Algier-Tanne~Algerian Silver Fir
Abies pindrow	Pinaceae		Pindrow Fir	Pindrow-Tanne		West Himalayan Fir
Abies pinsapo	Pinaceae	Sapin d'Andalousie	Spanish Fir	Spanische Tanne	Abete di Spagna	Igeltanne~Pinsapo-Tanne
Abies procera	Pinaceae	Sapin noble	noble fir	Edel-Tanne		Sapin de l'Orégon~Edeltanne~Abies procera 'Glauca'~Abies procera ‘Glauca’~Blaue Edel-Tanne~Pazifische Edel-Tanne
Abies recurvata	Pinaceae		Min fir	Min-Tanne		
Abies religiosa	Pinaceae		Oyamel Fir	Heilige Tanne		Sacred Fir
Abies sachalinensis	Pinaceae	Sapin de Sakhaline	Sakhalin Fir	Sachalin-Tanne		
Abies shastensis	Pinaceae		Shasta red fir			
Abies sibirica	Pinaceae	Sapin de Sibérie	Siberian Fir	Sibirische Tanne		
Abies spectabilis	Pinaceae		Himalayan Fir	Himalaya-Tanne		Himalaja-Tanne~Webb Fir~Himalayan siver fir
Abies squamata	Pinaceae		Flaky Fir	Schuppenrindige Tanne		
Abies veitchii	Pinaceae	Sapin de Veitch	Veitch Fir	Veitchs Tanne		Veitch-Tanne~Veitch's Fir~Veitch's silver-fir
Abies vejarii	Pinaceae		Vejar's Fir			
Abies yuanbaoshanensis	Pinaceae		Yuanbao Shan Fir			Yuanbaoshan fir
Abies ziyuanensis	Pinaceae		Zhiyuan fir			Ziyuan Fir
Abies ×sibirico-nephrolepis	Pinaceae		Abies ×sibiriconephrolepis			
Abietinella abietina	Thuidiaceae		abietinella moss			Wiry Fern Moss
Abildgaardia ovata	Cyperaceae		flatspike sedge			
Abronia alpina	Nyctaginaceae		Ramshaw Meadows sand verbena			Ramshaw Meadows sand-verbena
Abronia ameliae	Nyctaginaceae		Amelia's sand verbena			heart's delight
Abronia ammophila	Nyctaginaceae		Wyoming sand verbena			Yellowstone sand verbena
Abronia angustifolia	Nyctaginaceae		purple sand verbena			
Abronia anzuetoi	Nyctaginaceae		Anzuetoi arboreal alligator lizard			
Abronia argillosa	Nyctaginaceae		clay sand verbena			
Abronia aurita	Nyctaginaceae		Cope's arboreal alligator lizard			
Abronia bigelovii	Nyctaginaceae		Galisteo sand verbena			
Abronia bogerti	Nyctaginaceae		Bogert's Arboreal Alligator Lizard			
Abronia bolackii	Nyctaginaceae		Bolack's sand verbena			
Abronia campbelli	Nyctaginaceae		Campbell's Alligator Lizard			
Abronia carletonii	Nyctaginaceae		Carleton's sand verbena			
Abronia chiszari	Nyctaginaceae		Chiszar's Arboreal Alligator Lizard			
Abronia elliptica	Nyctaginaceae		fragrant white sand verbena			
Abronia fragrans	Nyctaginaceae		snowball sand verbena			
Abronia frosti	Nyctaginaceae		Frost's arboreal alligator lizard			Frost’s Arboreal Alligator Lizard
Abronia fuscolabialis	Nyctaginaceae		Mount Zempoaltepec Alligator Lizard			
Abronia gaiophantasma	Nyctaginaceae		Brilliant arboreal alligator lizard			
Abronia gracilis	Nyctaginaceae		slender sand verbena			
Abronia graminea	Nyctaginaceae		Terrestrial Arboreal Alligator Lizard			
Abronia insularis	Nyctaginaceae		island sand verbena			
Abronia latifolia	Nyctaginaceae		coastal sand verbena			
Abronia leurolepis	Nyctaginaceae		Smoothback Arboreal Alligator Lizard			
Abronia lythrochila	Nyctaginaceae		Red-lipped Arboreal Alligator Lizard			
Abronia macrocarpa	Nyctaginaceae		large-fruited sand verbena			largefruit sand verbena
Abronia maritima	Nyctaginaceae		red sand verbena			
Abronia matudai	Nyctaginaceae		Matuda's Arboreal Alligator Lizard			
Abronia mellifera	Nyctaginaceae		white sand verbena			
Abronia minor	Nyctaginaceae		little sand verbena			
Abronia mitchelli	Nyctaginaceae		Mitchell's Arboreal Alligator Lizard			
Abronia mixteca	Nyctaginaceae		Mixtecan Arboreal Alligator Lizard			
Abronia montecristoi	Nyctaginaceae		Monte Cristo Arboreal Alligator Lizard			Montecristo Arboreal Alligator Lizard
Abronia nana	Nyctaginaceae		dwarf sand verbena			
Abronia neurophylla	Nyctaginaceae		beach sand verbena			
Abronia oaxacae	Nyctaginaceae		Oaxaca Arboreal Alligator Lizard			
Abronia ochoterenai	Nyctaginaceae	Gerrhonotus vasconcelosii ochoterenai	Northern Chiapas Arboreal Alligator Lizard			
Abronia ornelasi	Nyctaginaceae		Cerro Baul Alligator Lizard			
Abronia pogonantha	Nyctaginaceae		Mojave sand verbena			
Abronia ramirezi	Nyctaginaceae		Ramirez's Alligator Lizard			
Abronia reidi	Nyctaginaceae		Reid's Arboreal Alligator Lizard			
Abronia salvadorensis	Nyctaginaceae		Salvador arboreal alligator lizard			
Abronia smithi	Nyctaginaceae		Smith's arboreal alligator lizard			
Abronia taeniata	Nyctaginaceae		Bromeliad arboreal alligator lizard			
Abronia turbinata	Nyctaginaceae		transmontane sand verbena			
Abronia umbellata	Nyctaginaceae		pink sand verbena			
Abronia vasconcelosii	Nyctaginaceae		Bocourt's arboreal alligator lizard			
Abronia villosa	Nyctaginaceae		desert sand verbena			
Abrotanella nivigena	Asteraceae		snow-wort			
Abrus precatorius	Fabaceae	abrus à chapelet	crab's eye vine	Paternostererbse	Abro	haricot paternoster~pois rouge~Paternostererbsen~precatory pea or bean~rosary pea~rosarypea
Abutilon abutiloides	Malvaceae		shrubby Indian mallow			
Abutilon auritum	Malvaceae		Asian Indian mallow			
Abutilon austroafricanum	Malvaceae		Indian mallow			
Abutilon berlandieri	Malvaceae		Berlandier's Indian mallow			
Abutilon eremitopetalum	Malvaceae		Hidden-petaled abutilon			Hidden-petaled ilima~hiddenpetal Indian mallow
Abutilon exstipulare	Malvaceae	Abutilon de La Réunion				
Abutilon fraseri	Malvaceae		dwarf lantern-flower			
Abutilon fruticosum	Malvaceae		Indian mallow			Desert mallow~Pelotazo~Shrubby abutilon~Sweet Indian mallow~Texas Indian mallow
Abutilon grandifolium	Malvaceae		hairy Indian mallow			
Abutilon hirtum	Malvaceae		Florida Keys Indian mallow			
Abutilon hulseanum	Malvaceae		mauve			
Abutilon hypoleucum	Malvaceae		whiteleaf Indian mallow			
Abutilon incanum	Malvaceae		Hoary abutilon			Hoary Indian-mallow~pelotazo
Abutilon indicum	Malvaceae	Mauve indienne	Indian Mallow/Country Mallow			monkeybush
Abutilon leucopetalum	Malvaceae		desert Chinese lantern			
Abutilon malacum	Malvaceae		yellow Indian mallow			
Abutilon megapotamicum	Malvaceae		trailing abutilon	Schönmalve		Zimmerahorn
Abutilon menziesii	Malvaceae	Ilima rouge	ko'oloa 'ula			Red abutilon~Red ilima~kooloa ula
Abutilon mollicomum	Malvaceae		Sonoran Indian mallow			
Abutilon otocarpum	Malvaceae		Desert Lantern			
Abutilon palmeri	Malvaceae		Palmer's Indian mallow			
Abutilon pannosum	Malvaceae		Ragged mallow			
Abutilon parishii	Malvaceae		Parish's Indian mallow			
Abutilon parvulum	Malvaceae		dwarf Indian mallow			
Abutilon permolle	Malvaceae		coastal Indian mallow			
Abutilon pitcairnense	Malvaceae		Yellow fatu			
Abutilon pycnodon	Malvaceae		Chinese bell flower			Sandstone abutilon~Wild abutilon
Abutilon reventum	Malvaceae		yellowflower Indian mallow			
Abutilon sandwicense	Malvaceae		Green-flowered abutilon			greenflower Indian mallow
Abutilon theophrasti	Malvaceae		velvetleaf	Lindenblättrige Schönmalve	Cencio molle	Chinesischer Hanf~Samtpappel~china jute~Indianmallow~pie-marker~Indian mallow
Abutilon thurberi	Malvaceae		Thurber's Indian mallow			
Abutilon trisulcatum	Malvaceae		anglestem Indian mallow			
Abutilon wrightii	Malvaceae		Wright's Indian mallow			
Acacia acanthoclada	Fabaceae		Harrow Wattle			
Acacia acinacea	Fabaceae		gold-dust acacia			Gold-dust Wattle
Acacia acradenia	Fabaceae		ampwey			Mindiwirri~ngardurrkura~Silky wattle~Velvet Hill wattle~walypuna
Acacia aculeatissima	Fabaceae		Thin-leaf Wattle			
Acacia acuminata	Fabaceae		Jam wattle	Himbeer-Akazie		Jamwood~jam tree~mangart~Manjart~Munertor~Mungaitch
Acacia adoxa	Fabaceae		grey-whorled wattle			
Acacia adunca	Fabaceae		Wallangarra wattle			cascade wattle
Acacia afra	Fabaceae		Common hook-thorn Acacia			
Acacia alata	Fabaceae		winged wattle			
Acacia alpina	Fabaceae		Alpine Wattle			
Acacia amblygona	Fabaceae		fan leaf wattle			fan wattle
Acacia amoena	Fabaceae		Boomerang Wattle			
Acacia anastema	Fabaceae		sandrige gidgee			
Acacia anastomosa	Fabaceae		Carson river wattle			
Acacia anegadensis	Fabaceae		Pokemeboy			blackbrush wattle
Acacia aneura	Fabaceae		true mulga	Mulga		
Acacia angustissima	Fabaceae		prairie acacia			
Acacia aphylla	Fabaceae		Leafless Rock Wattle			
Acacia applanata	Fabaceae		golden grass wattle			grass wattle
Acacia aprica	Fabaceae		blunt wattle			
Acacia argyrophylla	Fabaceae		Silver Mulga			
Acacia aspera	Fabaceae		Rough Wattle			
Acacia ataxacantha	Fabaceae		Flame thorn			Flame-pod Acacia
Acacia ataxiphylla	Fabaceae		Large-fruited Tammin Wattle			
Acacia aulacocarpa	Fabaceae		golden flowered salwood			New Guinea wattle
Acacia auricoma	Fabaceae		Petermann Wattle			
Acacia auriculiformis	Fabaceae		Earleaf acacia			Northern black wattle~Papuan wattle~Tan wattle~Ear-leaf Acacia
Acacia ausfeldii	Fabaceae		Ausfeld's Wattle			Whipstick Cinnamon Wattle
Acacia awestoniana	Fabaceae		Stirling Range Wattle			
Acacia axillaris	Fabaceae		Midlands Wattle			
Acacia baileyana	Fabaceae		cootamundra wattle	Baileys Akazie		Cootamundra-Akazie
Acacia basedowii	Fabaceae		Basedow's Wattle			
Acacia beckleri	Fabaceae		Barrier Range wattle			
Acacia berlandieri	Fabaceae		guajillo			
Acacia binervata	Fabaceae		two-vein-hickory			
Acacia bivenosa	Fabaceae		Two-nerved wattle			
Acacia boomanii	Fabaceae		Snowy River wattle			
Acacia botrycephala	Fabaceae		sunshine wattle			
Acacia brachybotrya	Fabaceae		gray mulga			
Acacia brachycarpa	Fabaceae		Acacia brachycarpa Pedley (1969)			
Acacia brachypoda	Fabaceae		Western wheatbelt wattle			
Acacia burkei	Fabaceae		Black-monkey Acacia			
Acacia caesiella	Fabaceae		tableland wattle			bluebush wattle~blue bush
Acacia calamifolia	Fabaceae		broom wattle			
Acacia cambagei	Fabaceae		gidgee			
Acacia cana	Fabaceae		boree			
Acacia cardiophylla	Fabaceae		wyalong wattle			
Acacia caven	Fabaceae		Roman-cassie			
Acacia chinchellensis	Fabaceae		Chinchilla wattle			
Acacia choriophylla	Fabaceae		cinnecord			
Acacia chrysotricha	Fabaceae		Bellinger River Wattle			Newry Golden Wattle
Acacia cibaria	Fabaceae		turpentine mulga			
Acacia citrinoviridis	Fabaceae	Mulga noir				
Acacia cognata	Fabaceae		bower wattle			
Acacia collinsii	Fabaceae	Acacia de Collins	bull horn acacia	Kugelkopf-Akazie		
Acacia concinna	Fabaceae			Shikakai		Sikakai
Acacia confusa	Fabaceae		small Philippine acacia			Formosa acacia
Acacia constricta	Fabaceae		whitethorn acacia			Acacia constricta Benth.
Acacia continua	Fabaceae		thorn wattle			
Acacia cornigera	Fabaceae		bullhorn wattle			
Acacia corusca	Fabaceae		Shimmer wattle			
Acacia crassa	Fabaceae		curracabah			
Acacia crassicarpa	Fabaceae		northern wattle			Papua New Guinea red wattle~red wattle~Thick-podded salwood
Acacia cultriformis	Fabaceae		dogtooth wattle			golden-glow wattle~half-moon wattle~knife-leaf wattle~knife acacia
Acacia cyanophylla	Fabaceae	mimosa bleuâtre				
Acacia cyclops	Fabaceae		coastal wattle			Red-eyed Wattle
Acacia cyperophylla	Fabaceae		creekline miniritchie			red mulga
Acacia davyi	Fabaceae		Cork-bark Thorn			
Acacia dealbata	Fabaceae	mimosa d'hiver	Silver Wattle	Silber-Akazie	mimosa	mimosa des fleuristes~Silberakazie
Acacia deanei	Fabaceae		Deane's wattle			
Acacia decora	Fabaceae		graceful wattle			
Acacia decurrens	Fabaceae		black wattle			Boo'kerrikin~early black wattle~early green wattle~green wattle
Acacia dictyophleba	Fabaceae		feather veined wattle			jabandi (Thalanyji)~langkur (Nyangumarta)~lungkun (Nyangumarta)~malyati (Pintupi)~sandhill wattle~spear tree
Acacia difformis	Fabaceae		drooping wattle			
Acacia doratoxylon	Fabaceae		spearwood			
Acacia drummondii	Fabaceae		Drummond's wattle			
Acacia dubia	Fabaceae		Acacia dubia W.Fitzg. (1904) non Engelh. (1898)	Acacia dubia W.Fitzg. (1904) non Engelh. (1898)		
Acacia ehrenbergiana	Fabaceae		Salam			
Acacia elata	Fabaceae		cedar wattle			
Acacia erioloba	Fabaceae		camelthorn		Acacia delle giraffe	
Acacia estrophiolata	Fabaceae		ironwood			desert ironwood~southern ironwood~utjanypa
Acacia excelsa	Fabaceae		rosewood			ironwood~bunkerman~doodlallie
Acacia exilis	Fabaceae		Acacia exilis Maslin (1982) non Saporta (1889)	Acacia exilis Maslin (1982) non Saporta (1889)		
Acacia exuvialis	Fabaceae		Flaky-bark thorn			flakey-barked thorn
Acacia farnesiana	Fabaceae		sweet acacia			
Acacia ferruginea	Fabaceae		Rusty Acacia			
Acacia fimbriata	Fabaceae		fringed wattle			
Acacia flexifolia	Fabaceae		bent leaf wattle			small winter wattle
Acacia forrestiana	Fabaceae		Forrest's wattle			
Acacia genistifolia	Fabaceae		early wattle			
Acacia gerrardi	Fabaceae		Red thorn			Rooidoring
Acacia giraffae	Fabaceae		camel-thorn			kameeldoorn
Acacia gracilifolia	Fabaceae		graceful wattle			
Acacia gracillima	Fabaceae		Acacia gracillima Tindale (1975)			
Acacia greggii	Fabaceae		catclaw acacia			catclaw mesquite~Gregg's catclaw~paradise flower~wait-a-bit tree~wait-a-minute bush
Acacia haematites	Fabaceae		Koolyanobbing ironstone wattle			
Acacia hakeoides	Fabaceae		hakea wattle			
Acacia hebeclada	Fabaceae		Candle-pod acacia			
Acacia hecatophylla	Fabaceae		Long Pod			
Acacia helmsiana	Fabaceae		Helm's wattle			
Acacia heterophylla	Fabaceae	Tamarin des Hauts				Chêne de Bourbon~Mimeuse hétérophylle~Tamarinaie
Acacia hilliana	Fabaceae		Hill's Tabletop Wattle			
Acacia holosericea	Fabaceae		candelabra wattle			
Acacia howittii	Fabaceae		sticky wattle			
Acacia imbricata	Fabaceae		imbricate wattle			
Acacia implexa	Fabaceae		screw-pod wattle			
Acacia inaequilatera	Fabaceae		baderi			camel bush~fire wattle~kanji bush~ranji bush
Acacia irrorata	Fabaceae		green wattle			
Acacia ixiophylla	Fabaceae		sticky leaved wattle			
Acacia jennerae	Fabaceae		Coonavittra Wattle			
Acacia karroo	Fabaceae		Sweet thorn			karroothorn
Acacia koa	Fabaceae	Koa (arbre)	Koa	Koa-Akazie		Koa (Baum)~Gray Koa
Acacia koaia	Fabaceae		koaia			dwarf koa~koaoha
Acacia kosiensis	Fabaceae		Dune Thorn			
Acacia kraussiana	Fabaceae		Coastal Climbing Thorn			
Acacia lachnocarpa	Fabaceae		Woolly-fruited wattle			
Acacia lapidosa	Fabaceae		Mount Magnet rock wattle			
Acacia leiophylla	Fabaceae		coast golden wattle			
Acacia leptoclada	Fabaceae		sharp feather wattle			
Acacia leptoneura	Fabaceae		slender nerved acacia			
Acacia linearifolia	Fabaceae		Narrow-leaved Wattle			Stringybark Wattle
Acacia loderi	Fabaceae		Myall			Broken Hill Gidgee~Nealie
Acacia longifolia	Fabaceae		Sydney golden wattle			
Acacia luederitzii	Fabaceae		Kalahari-sand & Balloon-thorn acacias			False Umbrella Thorn
Acacia macracantha	Fabaceae		porknut			
Acacia mangium	Fabaceae		Black Wattle			Hickory Wattle~mangge hutan~mangium~Sabah salwood
Acacia manipularis	Fabaceae		manipulator acacia			
Acacia mearnsii	Fabaceae		black wattle			tan wattle
Acacia melanoxylon	Fabaceae	Mimosa à bois noir	blackwood			hickory~Australian blackwood~blackwood acacia~mudgerabah~sally wattle~Tasmanian blackwood
Acacia mellifera	Fabaceae		Blackthorn	Schwarzdorn-Akazie		Hakendorn~Black thorn
Acacia microbotrya	Fabaceae		Menna			Badjong~Galyang~gum wattle~Koonert~manna wattle
Acacia microcarpa	Fabaceae		manna wattle			
Acacia millefolia	Fabaceae		milfoil wattle			
Acacia modesta	Fabaceae		Amritsar Gum			
Acacia montana	Fabaceae		Mallee Wattle			
Acacia montis-usti	Fabaceae		Brandberg Acacia			
Acacia mucronata	Fabaceae		narrow-leaf wattle			
Acacia muricata	Fabaceae		spineless wattle			
Acacia myrtifolia	Fabaceae		myrtle wattle			
Acacia neovernicosa	Fabaceae		viscid acacia			
Acacia nigrescens	Fabaceae		knob thorn			knobthorn
Acacia nilotica	Fabaceae	Gonakié	gum arabic tree			
Acacia notabilis	Fabaceae		notable wattle			
Acacia obliquifolia	Fabaceae	Campèche				Tamarin d'Inde~Tamarin de l'Inde~Tamarinier d'Inde~Tamarinier de l'Inde
Acacia obliquinervia	Fabaceae		mountain hickory			mountain hickory wattle
Acacia obtriangularis	Fabaceae		Lawley River wattle			
Acacia obtusifolia	Fabaceae		blunt-leaf wattle			stiff-leaf wattle
Acacia omalophylla	Fabaceae		yarran			
Acacia oswaldii	Fabaceae		umbrella acacia			
Acacia pallida	Fabaceae		Kiawe			
Acacia paradoxa	Fabaceae		kangaroo thorn	Kängurudorn		paradox acacia~Hedge Wattle~kangaroo acacia~prickly wattle
Acacia parramattensis	Fabaceae		South Wales wattle			
Acacia parvipinnula	Fabaceae		silver-stem wattle			
Acacia pedunculata	Fabaceae		Acacia pedunculata willd			
Acacia pendula	Fabaceae		Boree			Myall~Balaar~myall acacia~Nilyah~Silver-leaf Boree~True Myall
Acacia pennatula	Fabaceae		fern-leaf acacia			
Acacia penninervis	Fabaceae		blackwood			
Acacia pentadenia	Fabaceae		karri wattle			
Acacia perangusta	Fabaceae		eprapah wattle			
Acacia permixta	Fabaceae		Hairy Acacia			
Acacia petraea	Fabaceae		Lancewood			
Acacia petricola	Fabaceae		Mount Augustus rock wattle			
Acacia pinetorum	Fabaceae		pineland wattle			
Acacia planifrons	Fabaceae		Umbrella Thorn			
Acacia podalyriifolia	Fabaceae		glaucous acacia			Mount Morgan wattle~pearl acacia~pearl wattle~Queensland silver wattle~Queensland wattle~silver wattle
Acacia polyacantha	Fabaceae		White catechu			White cutch tree~White Thorn~catechu tree
Acacia pravissima	Fabaceae		wedge-leaf wattle			
Acacia prominens	Fabaceae		goldenrain wattle			
Acacia pruinosa	Fabaceae		frosty wattle			
Acacia pubescens	Fabaceae		downy wattle			
Acacia pulchella	Fabaceae		Prickly Moses	Echte Akazie		
Acacia pycnantha	Fabaceae	Mimosa doré	golden wattle	Gold-Akazie		
Acacia quornensis	Fabaceae		quorn wattle			
Acacia redolens	Fabaceae		bank catclaw	Vanille-Akazie		Vanilleakazie
Acacia retinodes	Fabaceae	Mimosa des quatre saisons	silver wattle			water wattle~Retinodes water wattle
Acacia retusa	Fabaceae		catch and keep			
Acacia rigens	Fabaceae		nilyah			nealia~needle wattle~needlebrush acacia~nealie
Acacia rigida	Fabaceae		Acacia rigida Maslin (1999)			
Acacia rigidula	Fabaceae		blackbrush acacia			
Acacia rivalis	Fabaceae		creek wattle			
Acacia robynsiana	Fabaceae		Whip Stick Acacia			
Acacia roemeriana	Fabaceae		roundflower catclaw			
Acacia rubida	Fabaceae		red-leaf wattle			
Acacia salicina	Fabaceae		cooba			
Acacia saligna	Fabaceae		orange wattle	Weidenblatt-Akazie		blue leaf wattle~coojong or cujong~golden wreath wattle~Western Australian golden wattle
Acacia schaffneri	Fabaceae		Schaffner's wattle			
Acacia schottii	Fabaceae		Schott's wattle			
Acacia sekhukhuniensis	Fabaceae		Sekhukhune Thorn			
Acacia semirigida	Fabaceae		Stony Ridge Wattle			
Acacia senegal	Fabaceae		gum arabic	Gummiarabikumbaum		
Acacia seyal	Fabaceae		talh	Seyal-Akazie		
Acacia silvestris	Fabaceae		red wattle			
Acacia simplex	Fabaceae	Martaoui				
Acacia spectabilis	Fabaceae		glory wattle			
Acacia sphaerocephala	Fabaceae		bee wattle			
Acacia spirorbis	Fabaceae	Faux gaïac				
Acacia stenophylla	Fabaceae	Acacia stenophylla.	shoestring acacia			Dalby myall
Acacia stictophylla	Fabaceae		Dandenong Range cinnamon wattle			
Acacia stowardii	Fabaceae		bastard mulga			
Acacia stricta	Fabaceae		Hop Wattle			
Acacia stuhlmannii	Fabaceae		Vlei Thorn			
Acacia suaveolens	Fabaceae		Sweet Wattle			sweet acacia
Acacia subracemosa	Fabaceae		western karri wattle			
Acacia subulata	Fabaceae		awl-leaf wattle			
Acacia swan-river	Fabaceae			Acacia Swan river		Acacie de la rivière des Cygnes
Acacia swazica	Fabaceae		Swazi Thorn			
Acacia tenuifolia	Fabaceae		Tocino			Ara a Gato
Acacia tetragonophylla	Fabaceae		dead finish			
Acacia theronii	Fabaceae		Slender Mountain Thorn			
Acacia tortilis	Fabaceae		umbrella thorn		acacia ad ombrello	
Acacia tortuosa	Fabaceae		poponax			
Acacia trachycarpa	Fabaceae		curly bark tree			minni ritchi~Pilbara minni ritchi~sweet scented minni ritchi
Acacia trigonophylla	Fabaceae		soft-leaf wodjil			
Acacia trudgeniana	Fabaceae		Trudgen's wattle			
Acacia ulicifolia	Fabaceae		juniper wattle			prickly Moses~prickly-leaved wattle
Acacia uncifolia	Fabaceae		Coast Wirilda			
Acacia undoolyana	Fabaceae		Sickle-leaf wattle			Undoolya wattle
Acacia verticillata	Fabaceae		Prickly Moses			Creeping Moses
Acacia victoriae	Fabaceae		bramble acacia			
Acacia vogeliana	Fabaceae		macata bourse bastard			
Acacia volubilis	Fabaceae		tangle wattle			
Acacia whibleyana	Fabaceae		Whibley wattle			Whibley's wattle
Acacia wilhelmiana	Fabaceae		dwarf nealie			mist wattle~Wilhelmi's wattle
Acacia willdenowiana	Fabaceae		grass wattle			two-winged acacia~wattle grass
Acacia xanthophloea	Fabaceae		fevertree	Gelbrinden-Akazie		Gelbrindenakazie~Fever tree
Acacia xiphophylla	Fabaceae		Marrawa			Pukarti~Puluru~Snake-wood~Snakewood
Acaena anserinifolia	Rosaceae		beta-beta			bidi-bid~cockle button~New Zealand burr~piripiri
Acaena exigua	Rosaceae		liliwai			
Acaena myriophylla	Rosaceae		cadillo			
Acaena novae-zelandiae	Rosaceae		piripiri			biddy-biddy~Bidgee-widgee
Acaena pallida	Rosaceae		pale biddy-biddy			
Acaena pinnatifida	Rosaceae		Argentinian biddy-biddy			
